n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,54,butterfly-check,detect-only,24,7555499 ns,7313411,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,25,7577418 ns,7324622,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,26,7617917 ns,7361959,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,27,7632834 ns,7365084,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,28,7609457 ns,7352213,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,29,7563043 ns,7319042,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,30,7592958 ns,7348962,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,1,7609125 ns,7354882,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,2,7609292 ns,7359666,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,3,7545542 ns,7287002,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,4,7621665 ns,7364751,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,5,7617791 ns,7369418,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,6,7602459 ns,7349505,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,7,7586043 ns,7335666,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,8,7635624 ns,7380206,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,9,7630833 ns,7376918,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,10,7628291 ns,7375793,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,11,7575668 ns,7326956,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,12,7599666 ns,7354122,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,13,7601624 ns,7353333,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,recompute,14,7589376 ns,7342084,67584,0,0,0,0,67584,67584,139264,151552,151552
